# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,
# Tue Apr 18 11:35:00 2017,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_kepflag = 0,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_k2flag = 1,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_masse > 0,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_rade > 0,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_ttvflag:     TTV Flag,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_kepflag:     Kepler Field Flag,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_k2flag:      K2 Mission Flag,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_nnotes:      Number of Notes,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth mass],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass Limit Flag,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii],,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
782,K2-38,b,Transit,2,4.01593,0.0005,-0.0005,0,0,0,1,0,12,2.9,-2.9,0,1.55,0.16,-0.16,0
3378,WASP-47,e,Transit,4,0.789636,0.000017,-0.000017,0,0,0,1,1,9.1,5.5,-3.6,0,1.82,0.4,-0.4,0
48,BD+20 594,b,Transit,1,41.6855,0.003,-0.0031,0,0,0,1,1,16.3,6,-6.1,0,2.23,0.14,-0.11,0
783,K2-38,c,Transit,2,10.56103,0.0009,-0.0009,0,0,0,1,0,9.9,4.6,-4.6,0,2.42,0.29,-0.29,0
702,HIP 116454,b,Radial Velocity,1,9.1205,0.0005,-0.0005,0,0,0,1,0,11.82,1.33,-1.33,0,2.53,0.18,-0.18,0
772,K2-32,d,Transit,3,31.7154,0.0022,-0.0022,0,0,0,1,0,10.3,4.7,-4.7,0,3.43,0.35,-0.35,0
855,K2-95,b,Transit,1,10.13389,0.00068,-0.00077,0,0,0,1,2,10.99,2.73,-2.73,0,3.47,0.78,-0.53,0
740,K2-105,b,Transit,1,8.266902,0.00007,-0.00007,0,0,0,1,0,30,19,-19,0,3.59,0.44,-0.39,0
3377,WASP-47,d,Transit,4,9.095,0.014,-0.014,0,1,0,1,1,16.8,12,-7,0,3.71,0.82,-0.82,0
739,K2-10,b,Transit,1,19.3044,0.0012,-0.0012,0,0,0,1,0,27,17,-16,0,3.84,0.35,-0.34,0
95,EPIC 211391664,b,Transit,1,10.13675,0.00033,-0.00033,0,0,0,1,0,32.2,8.1,-8.1,0,4.3,0.3,-0.2,0
762,K2-27,b,Transit,1,6.771315,0.000085,-0.000085,0,0,0,1,0,30.9,4.6,-4.6,0,4.48,0.23,-0.23,0
770,K2-32,b,Transit,3,8.99213,0.00016,-0.00016,0,0,0,1,0,16.5,2.7,-2.7,0,5.13,0.28,-0.28,0
742,K2-108,b,Transit,1,4.73401,0.00024,-0.00024,0,0,0,1,0,59.4,4.4,-4.4,0,5.28,0.54,-0.54,0
784,K2-39,b,Transit,1,4.60497,0.00077,-0.00077,0,0,0,1,0,39.8,4.4,-4.4,0,5.71,0.63,-0.63,0
809,K2-60,b,Transit,1,3.00265,0.00004,-0.00004,0,0,0,1,1,135.39558,11.75971,-11.75971,0,7.656,0.415,-0.415,0
768,K2-30,b,Transit,1,4.098503,0.000011,-0.000011,0,0,0,1,0,184.02357,8.89924,-8.58141,0,11.646,0.56,-0.572,0
769,K2-31,b,Transit,1,1.25785,0.000002,-0.000002,0,0,0,1,1,563.83042,25.10857,-25.10857,0,11.882,3.923,-3.923,0
3342,WASP-157,b,Transit,1,3.9516205,0.000004,-0.000004,0,0,0,1,0,182.43442,29.55819,-29.55819,0,11.938,0.527,-0.527,0
3375,WASP-47,b,Transit,4,4.16071,0.00038,-0.00038,0,1,0,1,1,383,190,-120,0,12.9,2.8,-2.8,0
764,K2-29,b,Transit,1,3.2588321,0.0000019,-0.0000019,0,0,0,1,0,232.0159,12.7132,-12.7132,0,13.339,0.224,-0.224,0
